,LPR
73280,7.059952878721912e-06
73281,0.0007793821717280345
73372,9.084780716705324e-08
73440,8.700385672674723e-07
73481,0.00020768127698235343
73715,0.006104230013692778
73737,7.644446158020231e-11
73761,1.727256362272342e-05
73762,0.006757896324913629
73906,2.4471103667423354e-08
73940,6.789193443183034e-09
73942,7.012852629145419e-07
74131,3.2904953509016917e-09
74280,1.9577893778357453e-11
84404,0.00010748174386217155
84409,0.0008343004430052613
84411,0.011201523433871123
91103,1.2246390408144966e-08
91173,6.901967860059489e-06
91808,1.4625179452353483e-12
91996,1.2929366798949315e-10
91997,5.786038952117356e-09
92099,2.3718788253377604e-07
92184,3.463222347657104e-05
92299,1.8124280558585998e-11
92696,1.325001373983379e-15
92714,9.628864021141852e-09
92724,4.970867734995953e-15
92743,1.0728663860736936e-12
92808,2.3959400578075384e-08
92885,2.690385256246658e-05
92981,1.7959314971742225e-09
93142,0.0005774497049849083
93143,5.52997575790864e-05
93349,4.276794990121022e-05
93422,8.196494041199464e-15
93423,8.78946248588967e-15
93424,1.9512558592349924e-14
93469,0.006585718714111676
93832,4.3120883753331294e-14
94302,0.03704036432704451
94988,2.480979143045115e-08
95068,7.244530347405125e-06
total_proposed,0.006689931026155831
total_existing,4.679641202616834
total_combined,4.685475733959508
