parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
well_24172__stream_apportionment170,none,factor,0.3301,0.2301,0.43010000000000004,apportionment,1.0,0.0,1
well_24195__stream_apportionment171,none,factor,0.1631,0.06309999999999999,0.2631,apportionment,1.0,0.0,1
well_24197__stream_apportionment172,none,factor,0.8237,0.7237,0.9237,apportionment,1.0,0.0,1
well_24203__stream_apportionment173,none,factor,0.8453,0.7453000000000001,0.9453,apportionment,1.0,0.0,1
well_24216__stream_apportionment174,none,relative,0.0128,0.0,0.11280000000000001,apportionment,1.0,0.0,1
well_24225__stream_apportionment175,none,factor,0.3787,0.27869999999999995,0.4787,apportionment,1.0,0.0,1
well_24226__stream_apportionment176,none,factor,0.5021,0.4021,0.6021,apportionment,1.0,0.0,1
well_24227__stream_apportionment177,none,factor,0.3443,0.2443,0.44430000000000003,apportionment,1.0,0.0,1
well_24239__stream_apportionment178,none,factor,0.9724,0.8724000000000001,1.0,apportionment,1.0,0.0,1
well_24240__stream_apportionment179,none,factor,0.2572,0.15719999999999998,0.35719999999999996,apportionment,1.0,0.0,1
well_24247__stream_apportionment180,none,relative,0.071,0.0,0.17099999999999999,apportionment,1.0,0.0,1
well_24249__stream_apportionment181,none,factor,0.1061,0.006099999999999994,0.2061,apportionment,1.0,0.0,1
well_24252__stream_apportionment182,none,factor,0.1067,0.006699999999999998,0.2067,apportionment,1.0,0.0,1
well_24253__stream_apportionment183,none,relative,0.0866,0.0,0.1866,apportionment,1.0,0.0,1
well_24256__stream_apportionment184,none,factor,0.1136,0.013600000000000001,0.2136,apportionment,1.0,0.0,1
well_24265__stream_apportionment185,none,factor,0.4425,0.3425,0.5425,apportionment,1.0,0.0,1
well_24266__stream_apportionment186,none,factor,0.2558,0.15580000000000002,0.3558,apportionment,1.0,0.0,1
well_24274__stream_apportionment187,none,factor,0.9315,0.8315,1.0,apportionment,1.0,0.0,1
well_24279__stream_apportionment188,none,factor,0.2597,0.15969999999999998,0.3597,apportionment,1.0,0.0,1
well_24283__stream_apportionment189,none,relative,0.0592,0.0,0.1592,apportionment,1.0,0.0,1
well_24285__stream_apportionment190,none,relative,0.0234,0.0,0.12340000000000001,apportionment,1.0,0.0,1
well_24286__stream_apportionment191,none,relative,0.0251,0.0,0.12510000000000002,apportionment,1.0,0.0,1
well_24291__stream_apportionment192,none,factor,0.5964,0.49640000000000006,0.6964,apportionment,1.0,0.0,1
well_24293__stream_apportionment193,none,factor,0.3144,0.2144,0.4144,apportionment,1.0,0.0,1
well_24294__stream_apportionment194,none,relative,0.0313,0.0,0.1313,apportionment,1.0,0.0,1
well_24302__stream_apportionment195,none,relative,0.0319,0.0,0.13190000000000002,apportionment,1.0,0.0,1
well_24305__stream_apportionment196,none,relative,0.0173,0.0,0.1173,apportionment,1.0,0.0,1
well_24307__stream_apportionment197,none,factor,0.2683,0.16829999999999998,0.36829999999999996,apportionment,1.0,0.0,1
well_24311__stream_apportionment198,none,factor,0.2455,0.1455,0.34550000000000003,apportionment,1.0,0.0,1
well_24317__stream_apportionment199,none,relative,0.0131,0.0,0.1131,apportionment,1.0,0.0,1
well_24323__stream_apportionment200,none,factor,0.9843,0.8843,1.0,apportionment,1.0,0.0,1
well_2544__stream_apportionment20,none,factor,0.3722,0.2722,0.47219999999999995,apportionment,1.0,0.0,1
well_2750__stream_apportionment21,none,relative,0.0482,0.0,0.1482,apportionment,1.0,0.0,1
well_2886__stream_apportionment22,none,factor,0.3251,0.2251,0.42510000000000003,apportionment,1.0,0.0,1
well_3473__stream_apportionment23,none,relative,0.0216,0.0,0.12160000000000001,apportionment,1.0,0.0,1
well_3949__stream_apportionment24,none,factor,0.6396,0.5396,0.7395999999999999,apportionment,1.0,0.0,1
well_4171__stream_apportionment25,none,factor,0.1144,0.014399999999999996,0.2144,apportionment,1.0,0.0,1
well_418__stream_apportionment0,none,factor,0.6612,0.5612,0.7612,apportionment,1.0,0.0,1
well_466__stream_apportionment1,none,factor,0.9763,0.8763,1.0,apportionment,1.0,0.0,1
well_467__stream_apportionment2,none,factor,0.9548,0.8548,1.0,apportionment,1.0,0.0,1
well_490__stream_apportionment3,none,relative,0.0116,0.0,0.1116,apportionment,1.0,0.0,1
well_509__stream_apportionment4,none,factor,0.2427,0.1427,0.3427,apportionment,1.0,0.0,1
well_58403__stream_apportionment201,none,factor,0.3183,0.21830000000000002,0.4183,apportionment,1.0,0.0,1
well_58405__stream_apportionment202,none,factor,0.788,0.6880000000000001,0.888,apportionment,1.0,0.0,1
well_58406__stream_apportionment203,none,relative,0.0123,0.0,0.11230000000000001,apportionment,1.0,0.0,1
well_58407__stream_apportionment204,none,relative,0.0233,0.0,0.1233,apportionment,1.0,0.0,1
well_58410__stream_apportionment205,none,factor,0.307,0.207,0.40700000000000003,apportionment,1.0,0.0,1
well_58411__stream_apportionment206,none,factor,0.1807,0.0807,0.2807,apportionment,1.0,0.0,1
well_58414__stream_apportionment207,none,factor,0.3258,0.22579999999999997,0.42579999999999996,apportionment,1.0,0.0,1
well_58416__stream_apportionment208,none,factor,0.3245,0.2245,0.4245,apportionment,1.0,0.0,1
well_58424__stream_apportionment209,none,relative,0.0845,0.0,0.1845,apportionment,1.0,0.0,1
well_58433__stream_apportionment210,none,factor,0.2825,0.18249999999999997,0.38249999999999995,apportionment,1.0,0.0,1
well_58434__stream_apportionment211,none,factor,0.1165,0.0165,0.21650000000000003,apportionment,1.0,0.0,1
well_602__stream_apportionment5,none,relative,0.0073,0.0,0.1073,apportionment,1.0,0.0,1
well_603__stream_apportionment6,none,relative,0.008,0.0,0.10800000000000001,apportionment,1.0,0.0,1
well_67673__stream_apportionment212,none,factor,0.1139,0.013899999999999996,0.2139,apportionment,1.0,0.0,1
well_67895__stream_apportionment213,none,relative,0.0244,0.0,0.12440000000000001,apportionment,1.0,0.0,1
well_68008__stream_apportionment214,none,factor,0.6427,0.5427000000000001,0.7427,apportionment,1.0,0.0,1
well_68216__stream_apportionment215,none,relative,0.0386,0.0,0.1386,apportionment,1.0,0.0,1
well_68218__stream_apportionment216,none,relative,0.0273,0.0,0.1273,apportionment,1.0,0.0,1
well_68219__stream_apportionment217,none,relative,0.0366,0.0,0.1366,apportionment,1.0,0.0,1
well_68220__stream_apportionment218,none,relative,0.0351,0.0,0.1351,apportionment,1.0,0.0,1
well_68221__stream_apportionment219,none,relative,0.044,0.0,0.14400000000000002,apportionment,1.0,0.0,1
well_68294__stream_apportionment220,none,relative,0.0009,0.0,0.1009,apportionment,1.0,0.0,1
well_68475__stream_apportionment221,none,factor,0.3131,0.21309999999999998,0.4131,apportionment,1.0,0.0,1
well_68529__stream_apportionment222,none,factor,0.9959,0.8959,1.0,apportionment,1.0,0.0,1
well_68693__stream_apportionment223,none,relative,0.0525,0.0,0.1525,apportionment,1.0,0.0,1
well_68695__stream_apportionment224,none,relative,0.0594,0.0,0.15940000000000001,apportionment,1.0,0.0,1
well_68872__stream_apportionment225,none,factor,0.2237,0.1237,0.3237,apportionment,1.0,0.0,1
well_68917__stream_apportionment226,none,relative,0.0615,0.0,0.1615,apportionment,1.0,0.0,1
well_68925__stream_apportionment227,none,factor,0.3117,0.21169999999999997,0.41169999999999995,apportionment,1.0,0.0,1
well_68926__stream_apportionment228,none,factor,0.2951,0.19509999999999997,0.3951,apportionment,1.0,0.0,1
well_69049__stream_apportionment229,none,factor,0.9965,0.8965000000000001,1.0,apportionment,1.0,0.0,1
well_69065__stream_apportionment230,none,factor,0.2901,0.19010000000000002,0.3901,apportionment,1.0,0.0,1
well_69282__stream_apportionment231,none,factor,0.753,0.653,0.853,apportionment,1.0,0.0,1
well_69288__stream_apportionment232,none,relative,0.0123,0.0,0.11230000000000001,apportionment,1.0,0.0,1
well_69289__stream_apportionment233,none,relative,0.0046,0.0,0.1046,apportionment,1.0,0.0,1
well_69480__stream_apportionment234,none,factor,0.1321,0.03209999999999999,0.2321,apportionment,1.0,0.0,1
well_69508__stream_apportionment235,none,relative,0.0239,0.0,0.12390000000000001,apportionment,1.0,0.0,1
well_69576__stream_apportionment236,none,relative,0.0696,0.0,0.1696,apportionment,1.0,0.0,1
well_69635__stream_apportionment237,none,relative,0.0092,0.0,0.1092,apportionment,1.0,0.0,1
well_69636__stream_apportionment238,none,relative,0.0147,0.0,0.11470000000000001,apportionment,1.0,0.0,1
well_69638__stream_apportionment239,none,relative,0.0147,0.0,0.11470000000000001,apportionment,1.0,0.0,1
well_69669__stream_apportionment240,none,relative,0.0103,0.0,0.11030000000000001,apportionment,1.0,0.0,1
well_69970__stream_apportionment241,none,factor,0.9679,0.8679,1.0,apportionment,1.0,0.0,1
well_69990__stream_apportionment242,none,relative,0.0604,0.0,0.16040000000000001,apportionment,1.0,0.0,1
well_70119__stream_apportionment243,none,factor,0.6793,0.5793,0.7793,apportionment,1.0,0.0,1
well_70120__stream_apportionment244,none,factor,0.6423,0.5423,0.7423,apportionment,1.0,0.0,1
well_70186__stream_apportionment245,none,factor,0.9598,0.8598,1.0,apportionment,1.0,0.0,1
well_70191__stream_apportionment246,none,relative,0.0369,0.0,0.13690000000000002,apportionment,1.0,0.0,1
well_70263__stream_apportionment247,none,relative,0.0101,0.0,0.1101,apportionment,1.0,0.0,1
well_70517__stream_apportionment248,none,relative,0.0326,0.0,0.1326,apportionment,1.0,0.0,1
well_70519__stream_apportionment249,none,relative,0.0327,0.0,0.1327,apportionment,1.0,0.0,1
well_70520__stream_apportionment250,none,relative,0.0329,0.0,0.13290000000000002,apportionment,1.0,0.0,1
well_70548__stream_apportionment251,none,relative,0.001,0.0,0.101,apportionment,1.0,0.0,1
well_70881__stream_apportionment252,none,factor,0.5963,0.4963000000000001,0.6963,apportionment,1.0,0.0,1
well_70961__stream_apportionment253,none,relative,0.0936,0.0,0.1936,apportionment,1.0,0.0,1
well_70974__stream_apportionment254,none,relative,0.0927,0.0,0.1927,apportionment,1.0,0.0,1
well_70975__stream_apportionment255,none,relative,0.0927,0.0,0.1927,apportionment,1.0,0.0,1
well_71044__stream_apportionment256,none,factor,0.9129,0.8129000000000001,1.0,apportionment,1.0,0.0,1
well_71062__stream_apportionment257,none,factor,0.1546,0.05459999999999998,0.2546,apportionment,1.0,0.0,1
well_71063__stream_apportionment258,none,factor,0.2058,0.1058,0.3058,apportionment,1.0,0.0,1
well_71109__stream_apportionment259,none,factor,0.9185,0.8185,1.0,apportionment,1.0,0.0,1
well_71110__stream_apportionment260,none,factor,0.8965,0.7965,0.9964999999999999,apportionment,1.0,0.0,1
well_71117__stream_apportionment261,none,relative,0.0932,0.0,0.1932,apportionment,1.0,0.0,1
well_71156__stream_apportionment262,none,relative,0.0026,0.0,0.10260000000000001,apportionment,1.0,0.0,1
well_71199__stream_apportionment263,none,factor,0.1683,0.0683,0.2683,apportionment,1.0,0.0,1
well_71495__stream_apportionment264,none,factor,0.352,0.252,0.45199999999999996,apportionment,1.0,0.0,1
well_71935__stream_apportionment265,none,factor,0.2618,0.16179999999999997,0.3618,apportionment,1.0,0.0,1
well_71998__stream_apportionment266,none,relative,0.009,0.0,0.109,apportionment,1.0,0.0,1
well_72082__stream_apportionment267,none,factor,0.196,0.096,0.29600000000000004,apportionment,1.0,0.0,1
well_72094__stream_apportionment268,none,relative,0.0258,0.0,0.1258,apportionment,1.0,0.0,1
well_72095__stream_apportionment269,none,relative,0.0242,0.0,0.1242,apportionment,1.0,0.0,1
well_72269__stream_apportionment270,none,factor,0.2027,0.10269999999999999,0.30269999999999997,apportionment,1.0,0.0,1
well_72301__stream_apportionment271,none,relative,0.0626,0.0,0.16260000000000002,apportionment,1.0,0.0,1
well_72304__stream_apportionment272,none,relative,0.0641,0.0,0.16410000000000002,apportionment,1.0,0.0,1
well_72421__stream_apportionment273,none,relative,0.0164,0.0,0.1164,apportionment,1.0,0.0,1
well_72422__stream_apportionment274,none,relative,0.0125,0.0,0.1125,apportionment,1.0,0.0,1
well_72436__stream_apportionment275,none,relative,0.0455,0.0,0.14550000000000002,apportionment,1.0,0.0,1
well_72437__stream_apportionment276,none,relative,0.0397,0.0,0.1397,apportionment,1.0,0.0,1
