site_no,HICAP_WELL_NO
6498,482.0
6499,293.0
6500,23774.0
6501,36645.0
6502,36327.0
6503,23753.0
6504,23750.0
6505,707.0
6506,24315.0
6507,838.0
6508,23763.0
6510,24139.0
6511,24211.0
6512,23721.0
6513,23665.0
6514,23879.0
6515,36322.0
6516,1149.0
6517,23661.0
6518,23602.0
6519,67932.0
6520,24018.0
6521,68333.0
6522,1642.0
6523,24176.0
6524,3239.0
6525,24016.0
6526,23708.0
6527,36590.0
6529,23744.0
6530,23749.0
6531,23618.0
6532,23757.0
6533,23970.0
6534,4596.0
6535,36494.0
6536,36666.0
6537,1379.0
6538,23826.0
6543,23966.0
6544,67582.0
6547,1027.0
6548,23638.0
6549,413.0
6550,23980.0
6551,24024.0
6552,23983.0
6553,70548.0
6554,23987.0
6555,23993.0
6556,24002.0
6557,24008.0
6558,24009.0
6559,24013.0
6560,24114.0
6562,24015.0
6563,36631.0
6564,24047.0
6565,24050.0
6566,4597.0
6568,24121.0
6570,36507.0
6571,24042.0
6572,24160.0
6573,24022.0
6574,913.0
6575,70190.0
6576,24219.0
6577,24064.0
6579,23800.0
6580,24060.0
6581,23679.0
6582,3473.0
6583,24080.0
6584,1588.0
6586,24296.0
6587,23841.0
6588,155.0
6589,24072.0
6590,4209.0
6591,24285.0
6593,24297.0
6594,617.0
6596,24311.0
6607,68738.0
6614,2414.0
6621,12907.0
6622,12916.0
6623,12943.0
6624,67727.0
6625,67445.0
6626,12937.0
6627,23832.0
6628,36543.0
6629,990.0
6630,2083.0
6634,41.0
6635,70779.0
6636,15083.0
6639,791.0
6640,807.0
6641,911.0
6642,239.0
6643,1515.0
6644,36712.0
6645,36369.0
6667,1205.0
6668,33.0
6670,37.0
6671,340.0
6672,1372.0
6675,36492.0
6687,4000.0
6688,23694.0
6689,24028.0
6691,36734.0
6692,70270.0
6693,36335.0
6694,36555.0
6695,36336.0
6696,36621.0
6697,36550.0
6699,36347.0
6700,36391.0
6701,36356.0
6702,36358.0
6703,36370.0
6704,36435.0
6706,1511.0
6707,36415.0
6708,67430.0
6710,36730.0
6712,36549.0
6713,36754.0
6714,36714.0
6715,36554.0
6716,1517.0
6717,36579.0
6718,36598.0
6719,36758.0
6720,36635.0
6721,36636.0
6722,36658.0
6723,36711.0
6724,36677.0
6725,36416.0
6726,36693.0
6728,36737.0
6729,36341.0
6732,2132.0
6734,1603.0
6735,
6739,1616.0
6740,23864.0
6741,1683.0
6743,68250.0
6750,1825.0
6751,70957.0
6755,2955.0
6761,1935.0
6772,36488.0
6773,36510.0
6780,2274.0
6788,3.0
6789,2.0
6790,36723.0
6791,2656.0
6792,189.0
6793,233.0
6795,279.0
6796,36690.0
6797,36738.0
6798,1651.0
6799,67324.0
6800,19.0
6801,97.0
6802,156.0
6803,301.0
6804,116.0
6805,344.0
6806,67574.0
6807,30.0
6808,74.0
6809,161.0
6810,298.0
6811,64.0
6812,266.0
6813,295.0
6815,24234.0
6816,3173.0
6817,5933.0
6818,988.0
6819,2494.0
6820,2515.0
6822,15002.0
6823,15091.0
6824,15012.0
6825,15119.0
6826,15044.0
6831,15078.0
6832,15025.0
6834,5020.0
6835,5015.0
6836,1147.0
6837,29744.0
6838,2272.0
6839,29727.0
6840,1510.0
6842,3701.0
6843,29739.0
6844,29741.0
6845,732.0
6846,3891.0
6848,70936.0
6850,29790.0
6851,35336.0
6852,23698.0
6853,8169.0
6854,8220.0
6855,8202.0
6856,8148.0
6857,2811.0
6858,1009.0
6859,8154.0
6861,8235.0
6862,8136.0
6863,8224.0
6864,8238.0
6865,8226.0
6866,8229.0
6867,17612.0
6868,638.0
6869,17639.0
6870,17642.0
6871,25610.0
6872,25612.0
6873,1239.0
6874,11328.0
6875,70076.0
6878,29228.0
6879,29235.0
6881,29249.0
6884,34335.0
6885,34346.0
6889,621.0
6890,5736.0
6892,33520.0
6893,3677.0
6897,12993.0
6899,18940.0
6901,5904.0
6902,5910.0
6903,5912.0
6904,5936.0
6905,5937.0
6908,28413.0
6909,28424.0
6910,28431.0
6913,10528.0
6914,28444.0
6915,33018.0
6916,28447.0
6918,5008.0
6920,70331.0
6921,6514.0
6924,11336.0
6925,11326.0
6926,67368.0
6927,6518.0
6928,6509.0
6929,6526.0
6938,8197.0
6939,8204.0
6940,8609.0
6943,10519.0
6944,10522.0
6945,12425.0
6946,33014.0
6948,22512.0
6950,31918.0
6951,31920.0
6952,33503.0
6955,33507.0
6957,33521.0
6958,2449.0
6959,70130.0
6967,14204.0
6971,4704.0
6972,4707.0
6974,36411.0
6976,9102.0
6977,9101.0
6980,9405.0
6981,10204.0
6982,10209.0
6984,10810.0
6985,10811.0
6986,70796.0
6990,20709.0
6992,23310.0
6994,30702.0
6995,30706.0
7000,70019.0
7001,71095.0
7003,6531.0
7009,54009.0
7043,40521.0
7055,54005.0
7234,433.0
7238,12441.0
7239,409.0
7248,4715.0
7249,20710.0
7266,69603.0
7272,865.0
7273,8111.0
7284,3203.0
7285,545.0
7286,685.0
7299,12958.0
7308,70805.0
7319,3388.0
7327,67329.0
7332,3727.0
7342,3830.0
7343,3833.0
7347,67387.0
7358,67295.0
7365,67330.0
7376,4268.0
7385,70248.0
7399,67459.0
7400,2436.0
7428,4670.0
7430,4573.0
7436,67758.0
7453,67908.0
7458,67966.0
7461,68032.0
7462,68036.0
7463,68038.0
7465,71326.0
7472,68205.0
7499,36592.0
7505,68682.0
7506,12104.0
7507,24238.0
7512,8165.0
7513,8164.0
7516,70200.0
7519,24025.0
7520,5903.0
7521,5604.0
7522,44.0
7526,578.0
7527,12918.0
7532,68753.0
7534,18906.0
7536,69533.0
7538,25620.0
7539,68818.0
7548,68959.0
7554,23748.0
7565,23890.0
7566,17616.0
7570,69370.0
7573,24179.0
7575,69399.0
7580,69470.0
7581,69490.0
7584,69508.0
7585,69513.0
7590,69558.0
7592,70953.0
7593,70186.0
7596,17614.0
7598,69647.0
7600,70759.0
7602,69675.0
7603,
7605,105.0
7607,11353.0
7608,70480.0
7616,69986.0
7617,69989.0
7620,71028.0
7621,36423.0
7622,36679.0
7625,15062.0
7627,70184.0
7631,70243.0
7636,4274.0
7643,2413.0
7644,23718.0
7649,15101.0
7656,15102.0
7660,69773.0
7661,68866.0
7662,12903.0
7663,12974.0
7671,70826.0
7680,71007.0
7682,71033.0
7685,17617.0
7686,71119.0
7687,71156.0
7693,28422.0
7694,217.0
7695,68512.0
7696,283.0
7697,1245.0
7702,1536.0
7704,1995.0
7710,15065.0
7711,3008.0
7712,20703.0
7720,226.0
7722,613.0
7724,4583.0
7725,285.0
7726,2432.0
7727,2508.0
7732,70481.0
7747,35339.0
7753,6.0
7754,5.0
7755,130.0
7757,291.0
7758,36406.0
7759,36564.0
7760,39.0
7761,345.0
7762,31.0
7763,1251.0
7764,443.0
7765,304.0
7766,66.0
7767,115.0
7768,1277.0
7769,36759.0
7770,62.0
7771,1821.0
7772,134.0
7774,4152.0
7775,292.0
7776,2424.0
7778,1182.0
7779,2495.0
7780,5932.0
7781,69734.0
7782,153.0
7783,157.0
7784,289.0
7785,353.0
7786,36303.0
7787,36387.0
7788,36702.0
7789,36515.0
7792,3519.0
7794,23767.0
7795,71167.0
7796,23639.0
7797,23729.0
7798,23653.0
7799,445.0
7800,23855.0
7801,23739.0
7802,23741.0
7803,36374.0
7804,36405.0
7805,23792.0
7806,23657.0
7807,23634.0
7808,24116.0
7809,68120.0
7810,24034.0
7811,23984.0
7812,24084.0
7813,36591.0
7814,23820.0
7815,24043.0
7816,23731.0
7817,23775.0
7818,23848.0
7819,67572.0
7820,23888.0
7821,23962.0
7822,23827.0
7823,23824.0
7826,23859.0
7827,23851.0
7828,69670.0
7829,23906.0
7831,24306.0
7832,70119.0
7833,2840.0
7834,24148.0
7835,23842.0
7836,23957.0
7837,24056.0
7838,24000.0
7839,23999.0
7840,2757.0
7843,24046.0
7844,24021.0
7845,23683.0
7847,23777.0
7848,36506.0
7849,24250.0
7852,1285.0
7853,36388.0
7854,23715.0
7855,23754.0
7856,23722.0
7857,1242.0
7858,4218.0
7861,24280.0
7862,1286.0
7863,24286.0
7864,24293.0
7865,69970.0
7866,24239.0
7867,411.0
7875,493.0
7879,36611.0
7883,454.0
7886,572.0
7888,12933.0
7889,12988.0
7890,12908.0
7891,70234.0
7892,70221.0
7893,24122.0
7894,623.0
7895,23743.0
7896,2614.0
7897,38605.0
7898,38608.0
7899,70439.0
7900,38630.0
7901,38610.0
7902,757.0
7903,758.0
7905,4156.0
7906,86.0
7908,696.0
7913,954.0
7923,1302.0
7926,22503.0
7927,4148.0
7939,1578.0
7942,36491.0
7950,24062.0
7954,3422.0
7955,36318.0
7957,36538.0
7958,36338.0
7959,36472.0
7960,36626.0
7961,1343.0
7963,36348.0
7964,36655.0
7965,36688.0
7966,36376.0
7967,36378.0
7968,36620.0
7969,2149.0
7970,36553.0
7973,36576.0
7974,36346.0
7975,36557.0
7976,69914.0
7977,36653.0
7978,69392.0
7979,36627.0
7980,36447.0
7981,36670.0
7982,36680.0
7984,36529.0
7987,36624.0
7988,36308.0
7990,36751.0
7991,3857.0
7992,36763.0
7995,2687.0
7996,1909.0
7997,70830.0
7998,1688.0
8005,1908.0
8007,857.0
8008,1827.0
8011,2755.0
8019,2686.0
8020,3471.0
8021,75010.0
8024,2762.0
8035,2161.0
8037,36428.0
8040,2263.0
8043,36594.0
8044,36546.0
8046,36527.0
8047,167.0
8048,170.0
8049,13.0
8051,94.0
8053,1301.0
8054,36417.0
8055,36544.0
8056,36715.0
8057,20.0
8058,251.0
8059,234.0
8060,1685.0
8061,93.0
8063,154.0
8064,248.0
8065,1698.0
8066,1890.0
8067,3514.0
8070,1871.0
8073,67700.0
8074,36727.0
8075,127.0
8076,346.0
8077,67346.0
8079,2479.0
8080,2419.0
8081,2091.0
8082,2134.0
8083,2448.0
8084,964.0
8086,70567.0
8088,15035.0
8089,15099.0
8090,15048.0
8091,439.0
8092,68897.0
8093,15070.0
8094,70132.0
8095,805.0
8096,29732.0
8098,3023.0
8099,29778.0
8103,29755.0
8104,29761.0
8105,29705.0
8106,29776.0
8107,29769.0
8110,35316.0
8111,35303.0
8112,35317.0
8113,8106.0
8114,8210.0
8115,8107.0
8116,925.0
8117,8174.0
8118,8114.0
8119,8131.0
8120,8159.0
8121,8198.0
8122,8163.0
8123,508.0
8124,1889.0
8126,8189.0
8127,8102.0
8128,8203.0
8129,8228.0
8130,8207.0
8131,68815.0
8132,17606.0
8134,17641.0
8137,67487.0
8139,29232.0
8140,29219.0
8142,29231.0
8144,29247.0
8148,7010.0
8151,5727.0
8154,5762.0
8156,12934.0
8157,12982.0
8158,12946.0
8160,18931.0
8161,18927.0
8162,18944.0
8163,2569.0
8164,2815.0
8165,5926.0
8166,8618.0
8168,5938.0
8169,5939.0
8170,67889.0
8172,28415.0
8174,28403.0
8175,28412.0
8176,28492.0
8177,67494.0
8179,28429.0
8180,28430.0
8181,432.0
8182,28441.0
8185,38618.0
8187,5002.0
8188,5016.0
8189,6508.0
8190,6559.0
8191,11303.0
8192,6558.0
8196,20206.0
8206,3130.0
8209,27913.0
8213,45611.0
8214,67504.0
8215,8161.0
8216,8606.0
8217,8608.0
8218,8619.0
8219,8621.0
8220,10504.0
8222,31903.0
8223,31904.0
8224,33504.0
8226,2426.0
8229,12106.0
8232,14213.0
8238,10808.0
8239,10201.0
8241,14703.0
8244,18605.0
8245,18615.0
8246,68095.0
8247,18612.0
8249,20717.0
8253,30705.0
8254,35325.0
8257,70018.0
8259,29271.0
8265,54010.0
8281,23674.0
8311,11301.0
8509,70853.0
8510,28482.0
8511,28496.0
8512,28498.0
8525,489.0
8526,20215.0
8545,2720.0
8546,2703.0
8563,2761.0
8566,15114.0
8570,4237.0
8571,3202.0
8572,24052.0
8580,3136.0
8582,3132.0
8589,68803.0
8592,12954.0
8593,38611.0
8595,38636.0
8609,3299.0
8626,23616.0
8627,23682.0
8632,3904.0
8643,4594.0
8649,69539.0
8652,6525.0
8662,70489.0
8671,4215.0
8680,4158.0
8685,177.0
8707,67564.0
8710,67577.0
8712,67599.0
8713,1243.0
8714,36456.0
8732,67900.0
8735,15108.0
8749,23909.0
8753,68108.0
8764,68240.0
8793,68495.0
8794,68511.0
8809,69041.0
8810,8241.0
8814,7004.0
8818,24265.0
8827,18916.0
8828,71286.0
8829,68751.0
8831,18905.0
8833,68801.0
8845,68883.0
8846,68917.0
8849,68941.0
8851,35307.0
8855,23821.0
8858,69094.0
8859,69163.0
8862,8135.0
8865,331.0
8867,23727.0
8868,36661.0
8872,18918.0
8874,24071.0
8876,94530.0
8881,69432.0
8886,69118.0
8892,69548.0
8893,36681.0
8895,69563.0
8897,69575.0
8898,69588.0
8900,69594.0
8903,69609.0
8904,69615.0
8912,70744.0
8913,325.0
8915,69693.0
8916,72.0
8919,69793.0
8926,70053.0
8931,70151.0
8932,10807.0
8934,3009.0
8937,15107.0
8940,70317.0
8944,70346.0
8945,23914.0
8947,15093.0
8958,12973.0
8960,70568.0
8963,23870.0
8964,70783.0
8974,70881.0
8977,973.0
8981,70961.0
8987,71008.0
8995,71091.0
8996,71103.0
8998,71117.0
9000,71145.0
9005,23635.0
9006,71297.0
9007,55.0
9008,666.0
9009,174.0
9010,36350.0
9011,1298.0
