parcel_id,site_no,parcel_to_source_pct,source_to_parcel_pct
4364,5215,0.17903621371713102,0.10038176275931418
4365,5216,1,0.45192380530393694
4366,10336,1,0.7685338106970863
4367,24750,1,1
4369,5216,0.3102579800363033,0.07285575734399716
4369,10336,0.2644870113644692,0.10993022620777972
4369,5217,0.21313710117282822,0.05195030411127337
4369,5215,0.21211790742639924,0.07415632703999074
4376,21989,1,1
4377,5215,0.42677755863876404,0.1562390412388131
4377,7761,0.31598305587023756,0.10424021928377247
4377,5216,0.2572393854909984,0.06325509224573704
4378,7761,1,0.25856384377217495
4379,7761,0.30678401709437497,0.07749973157197895
4379,5215,0.3002676791258932,0.08417682184099165
4379,5217,0.20936670260463533,0.04092132742811325
4379,5216,0.18358160117509642,0.034568706577849696
4380,5215,1,0.24076196092299187
4382,5215,0.33034737395995806,0.1775920313846404
4382,7761,0.2746689270567528,0.1330594359513267
4382,5217,0.1980346994740947,0.07422531891450411
4382,5216,0.1969489995091944,0.07111749232042514
4383,5215,0.308795624520522,0.12832364726827536
4383,7761,0.28335884996677063,0.10610989115170316
4383,5217,0.21139747235047643,0.06124822533100225
4383,5216,0.19644805316223093,0.05483442900947457
4384,12817,0.8205026168484452,0.2861115297986536
4384,6489,0.1794973831515549,0.04684357995039485
4385,12817,0.42013654194249817,0.16123973848887804
4385,6489,0.3379716523169345,0.09707300436484548
4385,9093,0.24189180574056734,0.07142930318046314
4387,12817,0.4173639102576641,0.136924354208658
4387,6489,0.3248028963561738,0.07974845343160401
4387,9093,0.2578331933861621,0.06508460366769565
4388,12817,1,0.2785495446564182
4392,6489,1,0.24398455715894954
4393,6489,0.3307943358248539,0.08224115338888258
4393,9093,0.2620964144523886,0.06699297564697394
4393,12817,0.22962194157082808,0.07627951888959977
4393,7771,0.17748730815192934,0.05517724911854774
4394,9093,0.3314308019407974,0.0820842394645432
4394,6489,0.3274017559144805,0.07886982088011198
4394,12817,0.18918669536182753,0.06089531395779238
4394,7771,0.15198074678289472,0.04578044802117804
4395,9093,0.4886355066389959,0.1225700663930194
4395,6489,0.4830035210750363,0.11784540019570608
4395,7771,0.028360972285967852,0.008652568943265168
4396,9093,0.49719654422807,0.11840271831188133
4396,7771,0.2588884178069625,0.07498436989286336
4396,6489,0.24391503796496747,0.0564982618882509
4397,9093,1,0.2683051552014152
4402,8919,1,1
4413,5174,1,0.27337393909895974
4414,5174,0.4982135545845005,0.1393660112764516
4414,6440,0.3353201730771611,0.12418063168373333
4414,11582,0.16646627233833844,0.03639243446107204
4415,5174,0.3322643794577338,0.09400099510328212
4415,6440,0.25587733621801106,0.09583702823695393
4415,11582,0.2539321558864544,0.056144845150181664
4415,9046,0.15792612843780082,0.03629024658522217
4416,5174,0.3327107161174102,0.09465607319265082
4416,11582,0.2570587061566631,0.05715543500614085
4416,9046,0.2251259042436793,0.05202288456495014
4416,6440,0.18510467348224743,0.06971912534497623
4417,7771,0.4965519782262772,0.15916210359690186
4417,6489,0.25768163898721674,0.06605364895989792
4417,9093,0.245766382786506,0.0647698480541584
4418,7771,0.4977102000838729,0.16337753100932534
4418,6489,0.25400686775825965,0.06668062047282432
4418,9093,0.24828293215786745,0.06700976573906178
4419,7771,0.4985580099188506,0.1684692384840225
4419,9093,0.26401438965563107,0.07335132434078802
4419,6489,0.23742760042551844,0.06416149930853243
4420,7771,1,0.32439649093389594
4443,6440,0.49970749658583596,0.17244127608768042
4443,5174,0.34658806117946644,0.09034125313259027
4443,11582,0.1537044422346976,0.031311397639422436
4444,6440,1,0.3471886022697195
4446,6440,0.49693325101388747,0.10770027131277882
4446,5174,0.296549270116425,0.04854703916971395
4446,11582,0.20651747886968763,0.026422032689130556
4505,21083,0.9999352377934181,0.21778769309702622
4505,23212,6.476220658191458e-5,3.1217373463336424e-5
4506,21083,0.9978857237144311,0.22129296534009021
4506,23212,0.0021142762855689526,0.0010376760628288894
4511,21083,1,0.221761831120673
4520,21083,0.9971055348822155,0.23691423132432665
4520,23212,0.002894465117784449,0.001522059406290891
4521,23212,0.4945117017844227,0.23981450034707905
4521,21083,0.3417798715440261,0.07489142384243697
4521,21085,0.1637084266715512,0.0788250895059799
4528,23212,0.49262596254218044,0.18133374032541633
4528,21085,0.34292220107567123,0.1253289778079086
4528,21083,0.16445183638214825,0.02735185527544688
4529,23212,1,0.40315297093056324
4579,9046,0.3321953535405094,0.07504945285686875
4579,7720,0.2654475106406104,0.07050223235652192
4579,11582,0.20414898746375576,0.04437695153465691
4579,9048,0.1982081483551244,0.04522523812862545
4580,9046,0.3300766005285804,0.07158795355277058
4580,11582,0.260839222243144,0.054432009097481256
4580,5174,0.22794981787865395,0.060866341034322806
4580,7720,0.18113435934962163,0.04618450402268163
4581,9046,0.329515196519696,0.07657092284122764
